iter	Passed	Remaining
0	6	1589
1	14	1738
2	21	1737
3	27	1691
4	35	1731
5	42	1748
6	49	1728
7	57	1753
8	67	1796
9	85	2058
10	94	2062
11	104	2073
12	112	2047
13	120	2026
14	127	1993
15	134	1973
16	143	1966
17	150	1945
18	158	1926
19	165	1906
20	173	1890
21	181	1885
22	191	1885
23	198	1865
24	205	1851
25	213	1842
26	222	1835
27	230	1823
28	239	1821
29	247	1817
30	255	1805
31	263	1795
32	272	1791
33	282	1792
34	290	1781
35	298	1776
36	307	1769
37	315	1760
38	324	1755
39	332	1745
40	341	1741
41	349	1731
42	358	1724
43	368	1724
44	376	1716
45	385	1708
46	393	1698
47	401	1688
48	409	1680
49	418	1673
50	427	1666
51	435	1659
52	444	1653
53	455	1651
54	465	1648
55	474	1642
56	483	1636
57	491	1627
58	498	1614
59	506	1604
60	514	1593
61	524	1590
62	534	1587
63	544	1581
64	554	1579
65	563	1572
66	572	1564
67	581	1556
68	590	1549
69	598	1540
70	608	1533
71	617	1525
72	625	1517
73	635	1512
74	645	1505
75	654	1498
76	663	1491
77	672	1482
78	681	1474
79	690	1466
80	700	1461
81	709	1454
82	719	1448
83	728	1440
84	738	1432
85	746	1422
86	753	1411
87	762	1403
88	772	1396
89	781	1388
90	789	1379
91	799	1372
92	808	1364
93	817	1356
94	825	1347
95	836	1341
96	844	1332
97	854	1325
98	863	1316
99	873	1309
100	882	1301
101	891	1293
102	907	1294
103	915	1285
104	925	1277
105	934	1269
106	942	1259
107	952	1252
108	961	1243
109	971	1236
110	980	1228
111	990	1219
112	999	1211
113	1007	1202
114	1015	1192
115	1024	1183
116	1034	1175
117	1042	1166
118	1051	1157
119	1060	1149
120	1069	1140
121	1082	1135
122	1091	1126
123	1101	1119
124	1110	1110
125	1119	1101
126	1128	1093
127	1138	1084
128	1147	1076
129	1156	1067
130	1165	1058
131	1173	1048
132	1180	1038
133	1190	1030
134	1198	1021
135	1208	1012
136	1217	1004
137	1227	996
138	1236	987
139	1246	979
140	1255	970
141	1263	961
142	1272	952
143	1280	942
144	1289	933
145	1298	924
146	1306	915
147	1316	906
148	1323	897
149	1332	888
150	1341	879
151	1352	871
152	1362	863
153	1367	852
154	1378	844
155	1386	835
156	1394	825
157	1401	816
158	1410	807
159	1419	798
160	1426	788
161	1435	779
162	1444	770
163	1452	761
164	1461	752
165	1471	744
166	1481	736
167	1491	727
168	1499	718
169	1510	710
170	1520	702
171	1529	693
172	1538	684
173	1547	676
174	1556	667
175	1564	657
176	1573	648
177	1582	640
178	1590	630
179	1598	621
180	1607	612
181	1616	604
182	1625	595
183	1635	586
184	1643	577
185	1652	568
186	1662	560
187	1669	550
188	1678	541
189	1687	532
190	1696	524
191	1706	515
192	1715	506
193	1724	497
194	1731	488
195	1739	479
196	1748	470
197	1758	461
198	1768	453
199	1777	444
200	1786	435
201	1792	426
202	1802	417
203	1811	408
204	1819	399
205	1828	390
206	1836	381
207	1845	372
208	1852	363
209	1862	354
210	1870	345
211	1877	336
212	1885	327
213	1894	318
214	1904	310
215	1912	301
216	1920	292
217	1929	283
218	1938	274
219	1945	265
220	1954	256
221	1965	247
222	1973	238
223	1983	230
224	1991	221
225	2001	212
226	2010	203
227	2017	194
228	2025	185
229	2033	176
230	2042	168
231	2051	159
232	2060	150
233	2070	141
234	2079	132
235	2088	123
236	2097	115
237	2106	106
238	2115	97
239	2123	88
240	2132	79
241	2143	70
242	2152	62
243	2160	53
244	2171	44
245	2180	35
246	2189	26
247	2196	17
248	2204	8
249	2213	0
